NAF;Công ty Cổ phần Nafoods Group;Hàng tiêu dùng thiết yếu;0
NSC;Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam;Hàng tiêu dùng thiết yếu;0
PAN;Công ty Cổ phần Tập đoàn PAN;Hàng tiêu dùng thiết yếu;0
SAB;Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Sài Gòn;Hàng tiêu dùng thiết yếu;1
SBT;Công ty Cổ phần Thành Thành Công - Biên Hòa;Hàng tiêu dùng thiết yếu;1
SCD;Công ty Cổ phần Nước giải khát Chương Dương;Hàng tiêu dùng thiết yếu;0
SJF;Công ty Cổ phần Đầu tư Sao Thái Dương;Hàng tiêu dùng thiết yếu;0
SMB;Công ty Cổ phần Bia Sài Gòn - Miền Trung;Hàng tiêu dùng thiết yếu;0
SSC;Công ty Cổ phần Giống Cây trồng Miền Nam;Hàng tiêu dùng thiết yếu;0
TAC;Công ty Cổ phần Dầu thực vật Tường An;Hàng tiêu dùng thiết yếu;0
TS4;Công ty Cổ phần Thủy sản số 4;Hàng tiêu dùng thiết yếu;0
VCF;Công ty Cổ phần VINACAFÉ Biên Hòa;Hàng tiêu dùng thiết yếu;0
VHC;Công ty Cổ phần Vĩnh Hoàn;Hàng tiêu dùng thiết yếu;0
VNM;Công ty Cổ phần Sữa Việt Nam;Hàng tiêu dùng thiết yếu;1
ASP;Công ty Cổ phần Tập đoàn Dầu khí An Pha;Năng lượng;0
CNG;Công ty Cổ phần CNG Việt Nam;Năng lượng;0
GSP;Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế;Năng lượng;0
PGC;Tổng Công ty Gas Petrolimex - Công ty Cổ phần;Năng lượng;0
PJT;Công ty Cổ phần Vận tải Xăng dầu Đường thủy Petrolimex;Năng lượng;0
PLX;Tập đoàn Xăng dầu Việt Nam;Năng lượng;1
PVD;Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí;Năng lượng;0
PVT;Tổng Công ty Cổ phần Vận tải Dầu khí;Năng lượng;0
